Name,Package,Tags,Score,Developers,Version,MD5,Download_URL
美拍,com.meitu.meipaimv,短视频,4.3,厦门鸿天创视科技有限公司,9.6.000,350ECB6766372D1FD350ABB6DB7556AA,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/350ECB6766372D1FD350ABB6DB7556AA.apk?fsname=com.meitu.meipaimv_9.6.000.apk
豌豆荚,com.wandoujia.phoenix2,应用商店,3.8,北京卓易讯畅科技有限公司,8.3.4.0,28B169CB0EA67D3A0D28CAE813B7887F,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/28B169CB0EA67D3A0D28CAE813B7887F.apk?fsname=com.wandoujia.phoenix2_8.3.4.0.apk
快看漫画,com.kuaikan.comic,漫画,4.7,快看世界（北京）科技有限公司,7.79.1,3E5D82F33F59B336E0EE657644608BB9,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/3E5D82F33F59B336E0EE657644608BB9.apk?fsname=com.kuaikan.comic_7.79.1.apk
百度浏览器,com.baidu.browser.apps,手机浏览器,4.4,北京百度网讯科技有限公司,6.36.0.30,D208B131120B3D1DE8AE7F97A6641C21,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/D208B131120B3D1DE8AE7F97A6641C21.apk?fsname=com.baidu.browser.apps_6.36.0.30.apk
小红书,com.xingin.xhs,潮流生活社区,4.6,行吟信息科技（上海）有限公司,8.66.0,2F8D9CB8CF9394744FD0DFE597C2BB0F,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/2F8D9CB8CF9394744FD0DFE597C2BB0F.apk?fsname=com.xingin.xhs_8.66.0.apk
B612咔叽,com.campmobile.snowcamera,相机,4.3,亿睿科信息技术（北京）有限公司,13.5.10,76DAE0B865C15B57484F3BF46D129A75,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/76DAE0B865C15B57484F3BF46D129A75.apk?fsname=com.campmobile.snowcamera_13.5.10.apk
快牙,com.dewmobile.kuaiya,换机互传,4.2,邻动网络科技（北京）有限公司,6.5.9.1 (CN),08F1025E6F68D0548753ABE6A57CB1DA,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/08F1025E6F68D0548753ABE6A57CB1DA.apk?fsname=com.dewmobile.kuaiya_6.5.9.1 (CN).apk
唱吧,com.changba,K歌唱歌,3.3,北京小唱科技有限公司,12.14.0,C95B6C66732F99F9BD570DA896CA7E5E,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/C95B6C66732F99F9BD570DA896CA7E5E.apk?fsname=com.changba_12.14.0.apk
搜狗浏览器极速版,sogou.mobile.explorer,手机浏览器,4.5,北京搜狗科技发展有限公司,14.6.1.1010,556E8191812E270B16C0C9197BAB711E,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/556E8191812E270B16C0C9197BAB711E.apk?fsname=sogou.mobile.explorer_14.6.1.1010.apk
凤凰新闻,com.ifeng.news2,综合新闻,4.9,北京天盈九州网络技术有限公司,7.81.0,C29A85B1A1779CF85CF1C861B73B5297,https://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/C29A85B1A1779CF85CF1C861B73B5297.apk?fsname=com.ifeng.news2_7.81.0.apk
